卡牌名称,卡牌等级,永久球颜色,永久球数量,胜利点数,购买成本_黑,购买成本_粉,购买成本_黄,购买成本_蓝,购买成本_红,购买成本_大师球,进化后卡牌,进化所需球颜色,进化所需球个数
水箭龟,3,红,1,5,3,0,0,0,7,0,无,无,0
怪力,3,红,1,4,0,4,6,0,0,0,无,无,0
霸王花,3,红,1,3,2,0,0,2,5,0,无,无,0

伊布,4,黑,2,0,0,0,3,0,2,1,无,无,0
卡比兽,4,粉,2,0,2,0,0,0,3,1,无,无,0
化石翼龙,4,黄,2,0,0,2,0,3,0,1,无,无,0
百变怪,4,蓝,2,0,0,3,2,0,0,1,无,无,0
拉普拉斯,4,红,2,0,3,0,0,2,0,1,无,无,0

超梦,5,黑,2,2,0,3,0,3,3,1,无,无,0
火焰鸟,5,粉,2,2,3,0,3,3,0,1,无,无,0
急冻鸟,5,黄,2,2,3,3,3,0,0,1,无,无,0
梦幻,5,蓝,2,2,3,0,3,0,3,1,无,无,0
闪电鸟,5,红,2,2,0,3,3,3,0,1,无,无,0
